Main,Code,Category,Description
Energy,800,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Department of Energy), power blackouts and shortages, national energy security policy, energy goals, energy supply and conservation, regulation of natural gas and electricity, impact of taxation on national energy policy, global energy needs, emergency plans for energy shortages, promotion of energy development projects, long-range energy needs of the country, energy capital requirements, fuel poverty, regulation of privatised energy utilities (eg British Gas), energy demand, fuel strikes, exploration of energy resources."
Energy,801,Nuclear Energy and Nuclear Regulatory Issues.,"Examples: government funding of nuclear energy and nuclear regulation, nuclear power licensing reform, nuclear power plant fire safety legislation, nuclear power policy, safety of nuclear facility storage tanks for high level radioactive waste, claims system for nuclear accidents, standardized design for nuclear power generators, regulation of the nuclear industry (eg Atomic Energy Authority, International Atomic Energy Agency), inspection of nuclear installations, nuclear decommissioning, new technologies for safer nuclear reactors, negotiation of international nuclear safety standards, management of nuclear liabilities, nuclear accidents (eg Three Mile Island, Chernobyl), state of the atomic energy industry, atomic energy patents , protection of nuclear plants from attack."
Energy,802,Electricity and Hydroelectricity.,"Examples: government funding of electric and hydroelectric power, electricity power plant construction, organization of the national electricity supply (eg regional electricity grids, the national grid), structure of the electricity industry, electricity generation, hydroelectric projects, hydroelectric power development, utility payment reform, licensing of electric power plants, electric power in rural areas, electric power rates and ratemaking procedures, electric utility rate reform and regulation improvement, regional shortages of electric power, electric utilities financial problems, regulation of electric power plants use of natural gas, vulnerability of electric power system to accidents, increase in rural electric rates, emergency sales of electric power, impact of inflation and recession on the electric utility industry, privatisation of electricity generators and network (eg National Power, Powergen), competition in energy market."
Energy,803,Natural Gas and Oil (Including Offshore Oil and Gas).,"Examples: exploitation of natural gas and oil resources, extraction of oil and gas from the continental shelf (eg North Sea oil), licenses for exploration of off-shore oil and gas, natural gas regulation, natural gas pipeline safety issues, pipeline development, natural gas and oil exploration on public lands, estimates of domestic natural oil and gas reserves, transportation of natural gas, safety of off-shore installations, public share and use of profits from off-shore resources (ie royalties), offshore gas and oil leasing, collection and dissemination of information on winter heating fuels, oil prices and demand, gasoline price increases, OPEC crude oil prices, oil shortages, increase in world oil prices, long-term outlook of the world oil supply, oil imports and foreign commission payments, government oil or gasoline rationing programs, oil imports and energy security, foreign oil production and consumption, oil shale mining claims and regulation, estimating domestic oil production, royalty and value calculation procedures for oil and gas produced on public lands, petroleum storage facility fire prevention and safety, strategic petroleum reserve, structure of the domestic gas industry, competition between privatised utilities."
Energy,805,Coal.,"Examples: coal mining (pits), structure of coal production and the coal industry (eg National Coal Board, British Coal Corporation), mining accidents (eg Aberfan), the nationalisation or privatisation of the coal industry, clean coal technologies, regulation of coal slurry pipelines, extent and recoverability of national coal reserves, regulation of public land leases for the extraction of coal, regulatory standards for surface coal mining, coal imports."
Energy,806,Alternative and Renewable Energy.,"Examples: wind power, biofuels, wind farms, hydrogen and renewable energy programs, promotion of solar and geothermal power, promotion of alternative fuels for automobiles, issues of ethanol gasoline, biomass fuel and wind energy programs, ocean thermal energy research, solar energy development program, loans for alcohol fuel research, geothermal leases on public lands, hydrogen programs."
Energy,807,Energy Conservation.,"Examples: promotion of energy conservation, energy efficiency of government, home energy efficiency programs, energy conservation in cities, energy conservation standards for household appliances, building energy performance standards, diesel fuel and gasoline conservation act, promotion of carpooling, daylight savings time extensions, motor vehicle fuel efficiency."
Energy,898,Research and Development:.,"Examples: national energy research and development policy, government energy technology research and development, energy storage research and development programs, role of national laboratories in energy research and development, hydrogen research and design programs."
Energy,899,Other.,"Examples: government use of energy consultants, energy materials and equipment allocation, standby energy authorities legislation, future requirements for energy data."
Transportation,1000,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Department for Transport), national transport policy and strategies, government funding of transport and transport safety, investment in transport programs and projects, public transport network, surface transportation programs, regional and rural transportation needs, adequacy of transportation systems, highway and mass transit programs, transportation assistance programs, high-speed ground transportation systems, private sector investment in transport infrastructure, walking and cycling."
Transportation,1001,Mass and Public Transportation and Safety.,"Examples: provision of local bus services, privatisation of bus services (eg National Bus Company), cabs, taxis, mass transit programs, local transport plans, the development of a new urban public bus system, financial condition of the coach/bus industry, subsidies to urban mass transportation programs, underground (tube) safety, public transportation."
Transportation,1002,"Highway (Road) Construction, Maintenance, and Safety.","Examples: road-building, parking regulations, road safety, traffic management systems, congestion, public funding of highway construction, highway safety and design, national maximum speed limit laws, deterioration in condition of roads, government funding for bridge maintenance projects, highway user taxes, increase vehicle weight and width limitations on public highways, defence highway needs, control of advertising on public highways, infrastructure development, bridges, highway beautification programs, adding trees and plants along highways."
Transportation,1003,"Airports, Airlines, Air Traffic Control and Safety.","Examples: budget requests and appropriations (eg Civil Aviation Authority, British Airports Authority), civil aviation, regulation of civil aviation, aviation safety issues (eg incident reporting), security issues in civil aviation, financial condition of the airline industry, uses of satellite technology in aviation, regulatory delay in procurement of air traffic control equipment, development of new commercial aircraft, commercial air service restrictions, airline compliance with safety regulations, nationwide airport expansion needs, regulation of aircraft noise, air traffic controller standards, airlines fares and services, airplane crash liability standards, problems with airline computer reservation systems, air traffic control computer failures, regulation of charter air carriers, rates and fares of foreign air transportation, public funding or subsidies for airport construction aid, civil aviation academy."
Transportation,1005,Railroad Transportation and Safety.,"Examples: budget requests and appropriations, national rail network, strategic rail policy (eg Strategic Rail Authority), construction of new train lines and stations, decommissioning of underused train services and stations, modernisation of rail services, railroad safety inspection and enforcement programs, working conditions for rail workers, development of high speed passenger rail transportation, growth of regional railroads, sales of short line and regional railroads, passenger safety issues, freight rail industry regulation, shortage of railroad cars for commodity transportation, railroad deregulation, passenger organisations, privatisation of the rail industry, construction and operation of the Channel Tunnel, public inquiries into rail accidents, regulation of the rail industry (eg Office of the Rail Regulator)."
Transportation,1006,Truck and Automobile Transportation and Safety.,"Examples: driving education and qualifications, licensing and regulation (eg Driver and Vehicle Licensing Agency), penalty system for road traffic offences, drink driving legislation and tests, accidents, road traffic, accident rates, speed cameras, trucking industry regulation, national system of licensing for truck (or articulated vehicles) and bus drivers, truck safety audit and investigation procedures, prohibition of tandem trucks, size and weight limitations for trucks (articulated lorries) on public highways, impact of government regulations on independent truckers, long and short haul trucking provisions, regulation of freight forwarders, regulation of the trucking industry, motor vehicle safety issues, auto industry development of airbags, motor vehicle information programs, automobile safety belt usage, automobile crash testing and standards, economic status of automobile manufacturing, all-terrain vehicle safety, trucking industry deregulation, efforts to reduce drink driving."
Transportation,1007,Maritime Issues.,"Examples: budget requests and appropriations, marine pilotage, coastal authorities, lifeboat services (eg Royal National Lifeboat Institution), the shipping industry, merchant shipping issues, ship-building and ship-repairing (eg British Shipbuilders, the Shipbuilding Credit Scheme), development of harbours and ports (eg National Ports Council), organisation and control of inland waterways, maritime security, hovercraft construction and regulation, cargo liability limits and the carriage of goods by sea, cargo preference laws, revitalization of the maritime industry, commercial fishing vessel safety, navigation safety issues, cruise ship safety, commercial shipbuilding industry, navy policies on transportation of military cargo, financing construction of merchant ships, maritime freight industry regulation, regulation of ocean shipping rates, small boat safety, operation of ocean weather stations, navigation rules on inland waterways, designation and naming of channels, designation and naming of vessels."
Transportation,1010,Public Works (Infrastructure Development).,"Examples: budget requests and appropriations for public works and civil works projects, transportation infrastructure improvements, civil works and energy projects, public works investment needs, local public works employment projects, local public works capital development and investment act, programmes of road construction."
Transportation,1098,Research and Development.,"Examples: surface transportation research and development, transportation research and development funding, research and development in ground transportation."
Transportation,1099,Other.,Examples: metric signing on highways.
"Law, Crime, and Family Issues",1200,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg the Home Office, the Ministry of Justice), the criminal justice system, increases or decreases in reported crime, emerging criminal justice issues, administration of criminal justice, revision or reform of the criminal justice system, public fear of crime, law reform, impact of crime upon the community."
"Law, Crime, and Family Issues",1201,Government Departments and Agencies Dealing With Law and Crime.,"Examples: budget requests and appropriations for law enforcement agencies, the judicial system (eg Crown Prosecution Service), witness protection programs, improving criminal justice information systems at the national and regional level, computerizing criminal records for nationwide law enforcement access, law enforcement assistance programs, informer networks, debt collection, protection of government officials."
"Law, Crime, and Family Issues",1202,White Collar Crime and Organized Crime.,"Examples: fraud, embezzlement, organized crime activities, racketeering control, organized crime in labour unions, white collar crime in the oil industry, gambling and organized crime, inquiries into organized crime, credit card counterfeiting and fraud legislation, corporate criminal liability, prosecution of organized crime labour racketeering cases, cigarette bootlegging, general money laundering, recovery of the proceeds of crime, laws on corruption, confidence tricksters, conmen."
"Law, Crime, and Family Issues",1203,"Illegal Drug Production, Trafficking, and Control.","Examples: national drug control strategy, interagency cooperation in drug control border drug interdiction, international narcotics control strategy, heroin trafficking in China, confiscation of the proceeds of drug trafficking, drug interdiction programs, overseas drug control strategy and cooperation, airborne drug trafficking deterrence, U.K. military involvement in drug interdiction, coast guard drug confiscation and search policies, drug trafficking and money laundering, money laundering detection and penalties, police seizure of drug related property, drug trafficking in specific urban or regional centres, legalization of drugs, the relationship between drug trafficking and crime, criminal penalties for drug trafficking."
"Law, Crime, and Family Issues",1204,Court Administration.,"Examples: funding of the judicial system, organization of the courts system (eg Magistrate Courts, Crown Court, High Court, Sheriffs Courts), administration of the courts, reform of prosecution and defence system (eg Crown Prosecution Service), sentencing guidelines, enforcement of fines and penalties, legal aid and legal service, community legal service, time limits for criminal cases, capital punishment, abolition of the death penalty, regulation of the legal profession, procedures of civil courts, jurisdiction of lawsuits made by foreigners on domestic companies, criminal fine collection efforts, conditions for pre-trial release, bail guidelines and bail reform, criminal records, legal services issues, trial by jury or magistrate, burden/standard of evidence, compensation to crime victims, mental or physical fitness for trial."
"Law, Crime, and Family Issues",1205,Prisons.,"Examples: government funding of the prison system, probation and aftercare services, reductions in the number of persons in prison, halfway house contracts, alternatives to traditional incarceration for criminal offenders, prisoner boot camp proposals, prison overcrowding, prison construction plans and policy, prison violence, shortcomings of the correction system, reform of the present parole (probation) system, national correction standards, penal reform."
"Law, Crime, and Family Issues",1206,Juvenile Crime and the Juvenile Justice System.,"Examples: young offenders, borstal, violent crime involving youth, juvenile court system, strategies for tackling juvenile crime, youth criminal activity, homeless and runaway youth assistance programs, crime and violence in schools, adolescent drug use and related criminal activity, juvenile delinquency prevention programs, correlation of unemployment and the crime rate for youth, alternatives to juvenile incarceration, detention and jailing of juveniles, rehabilitation and sentencing of juvenile offenders, corporal punishment (eg birching)."
"Law, Crime, and Family Issues",1207,Child Abuse and Child Pornography.,"Examples: child protection, custody of children (eg social services, social workers), child abuse prevention, national child search system, regulation of child pornography, violence against children, sexual exploitation of children, problems and incidence of missing children, efforts to relocate missing children, sexual abuse of children in day care homes, parental kidnapping of their children."
"Law, Crime, and Family Issues",1208,"Family Issues (Births, Deaths and Marriages).","Examples: court-ordered child support, battered women and child custody legislation, state of child welfare services, adoption and foster care programs, domestic violence, family planning programs, impact of drugs on children and families, aid for abandoned infants and children, teenage pregnancy issues, birth control, teenage suicide prevention, family services support for adoption, family economic problems, consequences of divorce, elderly abuse, domestic violence, enforcement of child maintenance (eg Child Support Agency), access and guardian rights, legislation concerning marriage, cohabitation and civil partnerships, the law concerning wills and inheritance, administration of estates, protection of juveniles, age-based restrictions."
"Law, Crime, and Family Issues",1209,"Police, Fire, and Weapons Control.","Examples: government funding of the police force and fire services, police administration, procedures for complaints against the police, rights of police officers during internal investigations, police misconduct, neighbourhood crime reduction programs, arson prevention, handgun control, waiting periods for handgun sales, control of explosives, establishment of a national police academy, performance of the fire service, fire safety at football stadiums, police surveillance, local fire brigades, organisation and management of the fire service, fire service training programs, modernisation of the fire service."
"Law, Crime, and Family Issues",1210,Criminal and Civil Code.,"Examples: amendments of criminal or civil law (eg murder), creation of new offences (eg Dangerous Dogs Act), sentencing disparities, hate crimes sentencing, rape law reform, sexual offences, judicial sentencing in narcotics cases, capital punishment, criminal penalties for assaults on firemen and policemen, law for crimes committed on aircraft, civil penalty guidelines and limitations, criminal justice statistics, habeas corpus reform, legislation concerning births and deaths, law concerning suicide, libel judgements and penalties."
"Law, Crime, and Family Issues",1211,Riots and Crime Prevention (Public Order).,"Examples: programs to prevent crimes against women, crimes against the elderly, deterring auto theft, violent crime control, national crime survey, federal criminal diversion programs, compensation programs for victims of violent crime, causes of urban riots and civil disturbances, creation of powers for police and local communities to tackle knives, guns and alcohol-related violence, football hooliganism, anti-social behaviour."
"Law, Crime, and Family Issues",1299,Other.,"Examples: law relating to treasure, the law relating to estates and trusts."
Social Welfare,1300,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Department of Social Security, Department for Work and Pensions), legislative provision for social welfare (eg the Poor Law, National Insurance Act 1911), government funding of social welfare programs and benefits, housing benefit, income support, contributory benefits, non-contributory benefits, welfare reform proposals, effectiveness of welfare programs, social services proposals, public assistance programs, effects of economic and social deprivation on the psychology of underprivileged persons, social security and welfare benefits reforms, non-means tested benefit (eg child allowance), protection against benefit fraud, prosecution or penalties for welfare fraud."
Social Welfare,1301,"Food Stamps, Food Assistance, and Nutrition Monitoring Programs.","Examples: supplemental food programs, food vouchers for low-income families, free school meals (eg Education Act 1906), free school milk (eg School Milk Act 1946), childhood hunger relief, child nutrition programs, consumer nutrition awareness, food stamp abuse and fraud, response to malnutrition and hunger problems, school breakfast/lunch program, malnutrition problems among the elderly, food assistance for low income families, programs for nutrition monitoring, food programs for the homeless, inquiries on food assistance, food stamp reductions, national nutrition policy study, food assistance for the elderly, national school lunch act."
Social Welfare,1302,Poverty and Assistance for Low-Income Families.,"Examples: anti-poverty programs, means-tested benefits (eg housing benefit, income support, working tax credits, child tax credit), programs to alleviate long-term welfare dependency, needs of disadvantaged children from low-income families, efforts of regional government to reduce poverty, mandatory work and training programs for welfare recipients, promotion of economic self-sufficiency for single mothers receiving benefits, low-income energy assistance programs, budget cut impact on welfare programs."
Social Welfare,1303,"Elderly Issues and Elderly Assistance Programs (Including Social Security Administration), State Pensions.","Examples: the state pension, national insurance payments, additional benefits for the elderly (eg winter fuel allowance), social security system filing problems, procedures for handling claims for denied benefits, social security benefits for older women, social services for the elderly, management of the social security trust funds surplus, reduction of social security benefits, elderly assistance programs, problems and needs of elderly women, cost of living adjustments for social security benefits, impact of budget cuts on the elderly, social security financing issues, energy cost assistance for the elderly, needs of rural elderly, travel subsidies for the elderly."
Social Welfare,1304,Assistance to the Disabled and Handicapped.,"Examples: welfare benefits for the disabled or mentally ill, residential living programs for the mentally retarded and developmentally disabled, revision of aid to handicapped, technologies for assisting disabled persons, welfare benefits for persons with long-term illnesses or disabilities, needs of the elderly blind, rehabilitation assistance for disabled, programs for the deaf and hearing impaired, independent living programs for the handicapped, support for the mentally ill and retarded, aid to physically handicapped."
Social Welfare,1305,Social Services and Volunteer Associations (Charities).,"Examples: community help, domestic volunteer service programs, youth volunteer programs, community volunteer programs, providing volunteer services for the elderly, regulation of volunteer services, national meals-on-wheels programs, cubs and boy scouts, older worker community service programs, boys and girls clubs, philanthropic organisations, charitable trusts, public sports fields and facilities, public swimming pools, government subsidies to sports and local recreation."
Social Welfare,1399,Other,"Community Development, Planning and Housing Issues"
"Community Development, Planning and Housing Issues",1400,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Ministry of Housing), government funding of housing and community development, town and country planning, public housing (eg council housing), housing and the housing market, housing policy goals, the planning system, the construction industry, building construction standards, future of the housing industry, national housing assistance legislation, administration and operation of national housing programs, housing safety standards, purchase or sale of housing property, housing financing, relief or subsidies (eg government finance for local authority housing, assistance for first-time home buyers), rental properties, system of building control, sale of council houses (stock transfer), land reform, tenure rights."
"Community Development, Planning and Housing Issues",1401,Housing and Community Development.,"Examples: housing and community development programs, government-funded housing developments or programs, renovation of the existing housing stock, repair and improvement of council houses by local authorities, housing associations, demolition of public housing (eg slum clearance), security on council estates, loans for neighbourhood revitalization efforts, neighbourhood development and preservation, housing and urban development, making repairs and improvements to a residence, community spaces, rights of local authority tenants, clean and safe neighbourhoods."
"Community Development, Planning and Housing Issues",1403,Urban Economic Development and General Urban Issues.,"Examples: funding of urban renewal, regeneration of cities, urban enterprise zones, community and local partnerships in urban renewal schemes, economic development needs of urban areas, urban revitalization, economic problems in various cities, national urban policy, effects of budget cuts on cities, government role in dealing with urban decline, reducing urban sprawl, financial bailout of metropolitan authorities, model cities programs, new town developments (eg New Town Development Corporations)."
"Community Development, Planning and Housing Issues",1404,Rural Housing and Farming Housing Assistance Programs.,"Examples: management of rural housing assistance programs, shortages of low-income rural housing, housing credit needs in rural areas, agriculture real estate loans, farm loans, legislation concerning farming tenancies (n.b."
"Community Development, Planning and Housing Issues",1405,Rural Economic Development.,"Examples: rural economic policy, countryside development, leisure and recreation in the countryside, support for rural communities, credit assistance and availability for rural economic development, investment in rural areas, rural conditions, rural development oversight, economic and social problems of rural areas, rural community development, rural telephone assistance."
"Community Development, Planning and Housing Issues",1406,Low and Middle Income Housing Programs and Needs.,"Examples: public and social housing (eg council houses), government relief or subsidies to low-income households, condition of council housing estates, quality of newly built housing association stock, the need for additional social housing, housing affordability problems of low and moderate income families, housing assistance programs, low-income housing shortages, property conversion trends and housing affordability, rent control, deficiencies in public housing projects, tenant-management initiatives in public housing projects, management of multi-family housing programs, security in public housing, neighbourhood preservation, slum clearance and related problems, multifamily housing projects, housing affordability and availability."
"Community Development, Planning and Housing Issues",1407,Veterans Housing Assistance and Military Housing Programs.,"Examples: grants or loans to war veterans for housing, mortgage loans to veterans, veteran mortgage foreclosures, low cost rental housing for veterans, sale of permanent war housing to veterans, substandard housing of military personnel, housing in military areas."
"Community Development, Planning and Housing Issues",1408,Elderly and Handicapped Housing.,"Examples: elderly housing needs, housing shortages and the elderly, alternative approaches to housing for the elderly, condominiums and the elderly, housing facilities for the elderly and handicapped, adequacy of government response to housing needs of the elderly."
"Community Development, Planning and Housing Issues",1409,Housing Assistance for Homeless and Homeless Issues.,"Examples: permanent housing for the homeless, government aid for the homeless, assistance for homeless veterans, lack of housing for homeless and low-income groups, use of emergency assistance funds for housing for homeless families, extent and causes of homelessness."
"Community Development, Planning and Housing Issues",1410,Mortgages.,"Examples: buying and selling of first mortgages (by banks, insurance companies, government agencies, and other mortgagees), mortgage marketing and mortgage credit, examine the secondary mortgage market for industrial mortgages, mortgage foreclosure procedures."
"Community Development, Planning and Housing Issues",1499,Other.,"Examples: landlords and tenancies (eg responsibility for repairs between landlords and tenants on short-term tenancies), leasehold reform (eg right for leaseholder to acquire the freehold or extend the lease), conveyancing, caravan sites, travellers land rights, architectural competition, cellulose home insulation."
"Banking, Finance, and Domestic Commerce",1500,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg the Department of Trade and Industry, Monopolies and Mergers Commission, Office for Fair Trading), legislation on business and enterprise, financial system structure and regulation, national materials policy, regulation of the economy, small and medium sized enterprises (SMEs), commercial development, competitiveness of business, reduction of administrative burdens on business (ie deregulation), private sector investment and innovation, friendly societies, brewing and distilling industries, specific businesses."
"Banking, Finance, and Domestic Commerce",1501,Banking System and Financial Institution Regulation.,"Examples: structure of the banking system, regulation of the financial services and markets (eg Financial Services Authority), regulatory burden on financial institutions, banking efficiency, collapse of banks and building or mutual societies (eg Barings, BCCI, Northern Rock), credit unions, procedures for disposal of assets of failed savings and loan banks, bank insurance fund, banking regulation reform, failed savings and loan associations, need for financial service industry restructuring, financial institution fraud investigations, savings and loan crisis, regulatory acquisition of insolvent savings and loan associations, uniform standards for saving institution advertising, standards for commercial bank foreign loan transactions, regulation on cheque clearing systems-limit length of time that banks can hold cheques, financial institution deregulation, electronic transfers, interest rate regulation on savings accounts."
"Banking, Finance, and Domestic Commerce",1502,Securities and Commodities Regulation.,"Examples: regulation of securities such as derivatives, futures and options (eg Financial Services Authority, London Stock Exchange), method and process of registering securities for public sale, depositor and investor protection law, raising capital in securities markets, regulation of commodity markets, securities regulations, securities laws violations, regulation of commercial bank involvement in the securities market, regulation of corporate bonds, investigations of stock market volatility problems, municipal bond market regulation, growth of money market mutual funds, pension fund investment policies, protection for securities investors, regulation of mutual fund investment companies, financial services industry reform, commodities."
"Banking, Finance, and Domestic Commerce",1504,"Consumer Finance, Mortgage Rates, and Credit Cards.","Examples: the mortgage market (mortgages offered by banks and mutual societies), mortgage types (eg interest repayment, buy-to-let mortgages), mortgage interest (eg tracker, fixed rate), mortgage financing reform, consumer credit protection, real estate settlement procedures, consumer access to credit records, consumer information on credit card interest rates, consumer information on mortgage settlement costs, fraud and abuse among credit repair agencies, adjustable rate mortgages, the credit market, regulation of credit card solicitations, credit ratings and credit-checks, unfair lending practices."
"Banking, Finance, and Domestic Commerce",1505,Insurance Regulation.,"Examples: the insurance industry, fraud and abuse in the insurance industry, regulations covering insurance companies, insurance industry financial status, effectiveness of government regulation of insurance companies, insurance company failures or crises (eg Lloyds of London), automobile insurance affordability and availability, no-fault motor vehicle insurance, life insurance industry regulation, sales of commercial life insurance on military bases, product liability insurance rates."
"Banking, Finance, and Domestic Commerce",1507,Debt and Bankruptcy.,"Examples: legislation concerning debt and bankruptcy, policies concerning liquidation, insolvency and sequestration (Scotland), bankruptcy administration (receivership), reform of consumer bankruptcy laws, professional fees in bankruptcy cases, bankruptcy code reform, depositor treatment in bankruptcy proceedings of uninsured financial institutions, bankruptcy regulation for farm families, bankruptcy statistics."
"Banking, Finance, and Domestic Commerce",1520,"Corporate Mergers, Antitrust Regulation, and Corporate Management Issues.","Examples: monopolies and mergers policy, competition policy, corporate governance issues (eg corporate manslaughter law), disqualification of unfit company directors, regulation of anti-competitive or restrictive practices, unfair competition in the tourism industry, meatpacking industry concentration, intellectual property antitrust protection, vertical price-fixing restrictions, price fixing agreements, monopoly problems in regulated industries, limited partnership regulations, foreign acquisition of firms, corporate management structure, hostile corporate takeovers, seed-money corporations, modernisation of reporting, accounting and audit arrangements for public companies, role and independence of company directors."
"Banking, Finance, and Domestic Commerce",1521,Small Business Issues.,"Examples: budget requests and appropriations promoting small business exports, small business credit availability problems, health insurance cost burden on small businesses, government assistance to small business, government set aside contracts for small business, small business competitiveness under current liability laws, problems of small businesses complying with environmental regulations, subsidies or loans to small businesses, impact of deregulation on small trucking businesses, small business programs for veterans, promotion of women in small business, impact of product liability costs on small business, increases in small business failures, impact of regulations on small business, reduction of administrative burdens on small businesses (deregulation), access to capital for small business, government competition with small business."
"Banking, Finance, and Domestic Commerce",1522,Copyrights and Patents.,"Examples: budget estimates, requests and appropriations for registration and enforcement of copyright and patents (eg Patent Office), legislation concerning copyrights, patents, designs and trade marks (eg the Registered Designs Act 1949, the Patents Act 1977, the Copyright, Designs and Patents Act 1988, the Trade Marks Act 1994), copyrights and telecommunication, biotechnology patent protection, intellectual property rights, copyright infringement remedies, industrial design protection, patents for inventions made in space, copyright protection for computer software, music copyrights, piracy of intellectual property, patent application procedures, trademark use and clarification, home recording of copyrighted material, performance royalties, patent office fees, public lending rights for authors, product definition (eg Scotch whisky)."
"Banking, Finance, and Domestic Commerce",1523,Domestic Disaster Relief.,"Examples: budget estimates, requests and appropriations for disaster relief and civil contingencies (eg Civil Contingencies Secretariat, Civil Defence Service, London Fire and Emergency Planning Authority), aid for flood disasters, emergency planning, national flood insurance reform, earthquake preparedness, disaster planning and relief operations, civil defence programs, disaster loans, interest rates on disaster loans, emergency credit extension to farmers in disaster areas, hurricane protection projects, early warning systems, drought relief, flood protection and cleanup operations."
"Banking, Finance, and Domestic Commerce",1524,Tourism.,"Examples: studies into the tourism industry, promotion of domestic tourism, using tourism to promote development of rural economies, problems for foreign visitors, status of the tourism industry, national tourism programs, regulation of travel agents."
"Banking, Finance, and Domestic Commerce",1525,Consumer Safety and Consumer Fraud.,"Examples: budget estimates, requests and appropriations for consumer protection (eg Consumer Council), misleading trade descriptions, fair trading, consumer rights, legislation on consumer protection (eg Weights and Measures Act, Consumer Protection Act), consumer organizations, deceptive mailings and solicitations, consumer reporting reform, auto repair fraud, consumer protection standards, standards for product liability, child car seat safety, infomercials and consumer protection, deceptive ads in the diet industry, telemarketing fraud, debt collection and consumer abuse, penalties for consumer product tampering, the consumer protection advocacy movement, labelling of alcoholic beverages, regulation of deceptive practices in the funeral industry, cosmetic safety, false and misleading advertising, consumer affairs, control of flammable fabrics, product defects, protection for people booking overseas holiday and travel, regulation of trade contracts and consumer credit (eg licenses)."
"Banking, Finance, and Domestic Commerce",1526,"The Business of Sports, Leisure and Gambling.","Examples: the law on betting and gaming, licensing of sports grounds and public venues, spectator safety, legislation concerning the staging of major sporting events (eg the Olympic Games, Football World Cup), public broadcasting of sporting events (eg Wimbledon), regulation of greyhound racing, health and safety standards for boxing, promotion of professional standards for boxing, regulation of gambling on vessels, regulation of televised sport, TV hometown blackouts when games are sold out, regulation of horse racing, the status of amateur sports, research into physical fitness and sports, grassroots participation in sporting activities, sport in schools."
"Banking, Finance, and Domestic Commerce",1599,Other.,"Examples: conversion to the metric system, emergency chlorine allocation, daylight savings time, uniform time standards, rules on Sunday trading, licensing of business or premises for sale of tobacco or alcohol, opening hours, summer time, timing standards."
Defense,1600,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Ministry of Defence), legislation on the armed forces covering multiple subtopics, defence operations and maintenance, reviews of defence policy, the organization of defence, status of the national military establishment, funding for defence activities of agencies, termination or designation of special defence areas, demobilization."
Defense,1602,"U.K. and Other Defence Alliances, U.K Security Assistance.","Examples: military presence overseas, defence alliances and regional pacts (eg North Atlantic Alliance, North Atlantic Treaty Organisation), ratification of defence agreements, defence cooperation, defence alliance strategies (eg NATO strategy), joint military operations with other countries, collective security agreements (eg European Defence Community), changes in the Soviet Union and the future of NATO, NATO defence capabilities in Europe, Warsaw Pact status, Soviet Union and China defence and economic development needs, Soviet strategic force developments, military commitments to NATO, NATO military equipment, security assistance"
Defense,1603,"Military Intelligence, Intelligence Services, Espionage .","Examples: intelligence services (eg the Security Service: MI5, Secret Intelligence Service: MI6, Government Communication Headquarters: GCHQ, Joint Intelligence Committee: JIC), foreign economic espionage, intelligence reorganization, oversight of covert intelligence activities, security reviews, intelligence activities of foreign diplomats, funds for the support of foreign rebels, leaks of classified defence information, estimates of Soviet defence spending, foreign intelligence electronic surveillance, organized subversion in the armed forces, communist bloc intelligence activities in the U.K., illegal involvement of the intelligence services in foreign countries, testimony of a KGB defector, intelligence reports on missile deployment, recent Soviet navy and military activities in Europe, intelligence service employee retirement and disability system, defence strategies, intelligence briefings to government, threats to national interests, Soviet Union and China military capabilities, regulation of intelligence (eg the Official Secrets Act)."
Defense,1604,"Military Readiness, Coordination of Armed Services Air Support and Sealift Capabilities, and National Stockpiles of Strategic Materials.","Examples: plans for modernization of nuclear forces, military sealift performance in conflict situations, defence mobilization requirements of domestic industries, efforts to improve defence communication systems, national defence stockpiles, deployment of missile capabilities, maintenance of the national nuclear deterrent (eg the Trident submarine program), strategic force modernization requirements, integration of military traffic management and military sealift command, national military readiness, combat readiness programs, mobility fuel requirements, fleet readiness, test and evaluation of the armed forces, shortages of essential materials, stockpiling of critical materials, disposal of various stockpiled materials, military air transportation readiness, production of fluorspar, wartime supplies (eg clothing) and services."
