Category,Code,Sub-category,Description
Transportation,1000,General (includes combinations of multiple subtopics).,"Examples: Department of Transportation (DOT) and National Transportation Safety Board (NTSB) requests and appropriations, budget requests and appropriations for multiple agencies (NTSB, FAA, CAB), surface transportation programs, national  20  transportation policy, rural transportation needs, adequacy of transportation systems, Interstate Commerce Commission policies and procedures, impact of budget cuts on DOT programs, highway and mass transit programs, transportation assistance programs, high-speed ground transportation systems."
Transportation,1001,Mass Transportation and Safety.,"Examples: mass transit grant programs, development of new urban public bus system, financial condition of the intercity bus industry, emergency subsidies to urban mass transportation programs, metrorail safety, public transportation.."
Transportation,1002,"Highway Construction, Maintenance, and Safety.","Examples: National Highway Transportation Safety Administration (NHTSA) budget requests and appropriations, federal aid for highway construction, highway safety and design, highway trust fund surplus, national maximum speed limit laws, pavement deterioration of highways in Florida, freeway problems in California, federal funding for bridge maintenance projects, highway user taxes, defense highway needs, control of advertising on interstate highways, infrastructure development, bridges, National Highway Academy, highway beautification programs, adding trees and plants along highways.."
Transportation,1003,"Airports, Airlines, Air Traffic Control and Safety.","Examples: Federal Aviation Administration (FAA) and Civil Aeronautics Board (CAB) budget requests and appropriations, aviation safety issues, financial condition of the airline industry, uses of satellite technology in aviation, FAA delay in procurement of air traffic control equipment, development of new commercial aircraft, commercial air service restrictions, airline compliance with FAA safety regulations, nationwide airport expansion needs, FAA air traffic controller standards, airlines fares and services, airplane crash liability standards, problems with airline computer reservation systems, air traffic control computer failures, oversight of CAB practices and procedures, CAB regulation of charter air carriers, rates and fares of foreign air transportation, federal airport construction aid, civil aviation academy.."
Transportation,1005,Railroad Transportation and Safety.,"Examples: AMTRAK budget requests and appropriations, federal railroad safety inspection and enforcement programs, development of high speed passenger rail transportation, growth of regional railroads, sales of short line and regional railroads, ICC rail rate regulation, AMTRAK passenger safety issues, freight rail industry regulation, Northeast Rail Service Act, shortage of railroad cars for commodity transportation, revitalization of Northeast Corridor rail properties, railroad deregulation.."
Transportation,1006,Truck and Automobile Transportation and Safety.,"Examples: trucking industry regulation, establish a national system of licensing for truck and bus drivers, truck safety audit and investigation procedures, prohibition of tandem trucks, size and weight limitations for trucks on interstate, impact of federal regulations  21  on independent truckers, long and short haul trucking provisions, regulation of freight forwarders, ICC regulation of the trucking industry, motor vehicle safety issues, auto industry development of airbags, motor vehicle information programs, automobile safety belt usage, automobile crash testing and standards, economic status of automobile manufacturing, all-terrain vehicle safety, trucking industry deregulation, efforts to reduce drunk driving."
Transportation,1007,"Maritime Issues, Including Safety and Security.","Examples: US Coast Guard, Merchant Marine, and Federal Maritime Commission budget requests and appropriations, cargo liability limits and the carriage of goods by sea, cargo preference laws, revitalization of the maritime industry, commercial fishing vessel safety, navigation safety issues, cruise ship safety, commercial shipbuilding industry, navy policies on transportation of military cargo by Merchant Marine, financing construction of merchant ships, maritime freight industry regulation, intercoastal shipping act, regulation of ocean shipping rates, Great Lakes pilotage, small boat safety, Coast Guard operation of ocean weather stations, navigation rules on inland waterways, designation and naming of channels, designation and naming of vessels."
Transportation,1010,Public Works (Infrastructure Development).,"Examples: budget requests and appropriations for public works and civil works projects, transportation infrastructure improvements, public works investment needs, local public works employment projects, local public works capital development and investment act, Public Works Acceleration Act."
Transportation,1098,Research and Development.,"Examples: surface transportation research and development, DOE requests for transportation research and development funding, research and development in ground transportation.."
Transportation,1099,Other.,Examples: metric signing on highways.
"Law, Crime, and Family Issues",1200,General (includes combinations of multiple subtopics).,"Examples: emerging criminal justice issues, administration of criminal justice, revision of the criminal justice system, role of the US commissioner in the criminal justice system.."
"Law, Crime, and Family Issues",1201,Executive Branch Agencies Dealing With Law and Crime.,"Examples: Judiciary, Department of Justice (DOJ), FBI, ATF, Border Patrol and Customs budget requests and appropriations, US federal marshals witness protection program, review of FBI programs, improving criminal justice information systems at the state and local level, computerizing criminal records for nationwide law enforcement access, law enforcement assistance programs, ATF gang information network, debt collection by the DOJ, Secret Service protection of government officials."
"Law, Crime, and Family Issues",1202,White Collar Crime and Organized Crime.,"Examples: Asian organized crime activities in the US, racketeering control, organized crime in Atlantic City, organized crime in labor unions, white collar crime in the oil industry, RICO penalties, gambling and organized crime, presidents commission on organized crime, credit card counterfeiting and fraud legislation, corporate criminal liability, prosecution of organized crime labor racketeering cases, cigarette bootlegging, general money laundering, efforts to counter cyber-crime."
"Law, Crime, and Family Issues",1203,"Illegal Drug Production, Trafficking, and Control.","Examples: Drug Enforcement Administration (DEA) appropriations, national drug control strategy, federal interagency cooperation in drug control border drug interdiction, international narcotics control strategy, heroin trafficking in China, status of DEA drug interdiction programs, US--South American drug control strategy and cooperation, airborne drug trafficking deterrence, US military involvement in drug interdiction, Coast Guard drug confiscation and search policies, drug trafficking and money laundering, money laundering detection and penalties, federal seizure of drug related property, drug trafficking in New York City, crack-cocaine trafficking in Delaware, legalization of drugs, the relationship between drug trafficking and crime, criminal penalties for drug trafficking."
"Law, Crime, and Family Issues",1204,Court Administration.,"Examples: Judiciary budget requests and appropriations, federal courts administration act, restructuring district courts, construction of new federal courthouse, administration of the federal courts, reorganization of federal courts, reducing the workload of the Supreme Court, reform grand jury procedures, time limits for federal criminal cases, capital punishment procedures, effectiveness of the pretrial services agency, oversight of the Legal Services Corporation, jurisdiction of lawsuits made by foreigners on US companies, criminal fine collection efforts, conditions for pre-trial release, bail guidelines and bail reform, establish and office of the public defender, Supreme Court issues, criminal records, legal services issues, confer jurisdiction upon Court of Claims (with no specific references to other subject matter), judicial pay."
"Law, Crime, and Family Issues",1205,Prisons.,"Examples: Federal Bureau of Prisons appropriations and budget requests, Federal Bureau of Prisons programs, halfway house contracts, alternatives to traditional incarceration for criminal offenders, prisoner boot camp proposals, prison overcrowding, prison construction plans and policy, prison violence, shortcomings of the correction system, reform of the present parole system, national correction standards, penal reform.."
"Law, Crime, and Family Issues",1206,Juvenile Crime and the Juvenile Justice System.,"Examples: violent crime involving youth, juvenile justice and delinquency prevention act, juvenile court system, youth criminal activity, homeless and runaway youth assistance programs, adolescent drug use and related criminal activity, juvenile delinquency prevention programs, correlation of unemployment and the crime rate for youth, alternatives to juvenile incarceration, detention and jailing of juveniles, Institute for juvenile justice, institute for continuing studies of juvenile justice, Juvenile Justice and Delinquency Prevention Act.."
"Law, Crime, and Family Issues",1207,Child Abuse and Child Pornography.,"Examples: child abuse prevention, national child search system, regulation of child pornography, violence against children, sexual exploitation of children, problems and incidence of missing children, federal efforts to relocate missing children, sexual abuse of children in day care homes, parental kidnapping of their children.."
"Law, Crime, and Family Issues",1208,Family Issues.,"Examples: court-ordered child support, battered women and child custody legislation, state of child welfare services, adoption and foster care programs, domestic violence, federal family planning programs, impact of drugs on children and families, aid for abandoned infants and children, teenage pregnancy issues, teenage suicide prevention,  24  family services support for adoption, family economic problems, consequences of divorce, elderly abuse, domestic violence, child tax credits.."
"Law, Crime, and Family Issues",1209,"Police, Fire, and Weapons Control.","Examples: Federal financial assistance to state and local law enforcement, rights of police officers during internal investigations, police misconduct, neighborhood crime reduction programs, arson prevention, handgun control, revise federal gun control laws, seven-day waiting periods for handgun sales, control of explosives, establishment of a national police academy.."
"Law, Crime, and Family Issues",1210,Criminal and Civil Code.,"Examples: revisions of the federal criminal code, federal crime sentencing disparities, hate crimes sentencing enhancement act, federal rape law reform, judicial sentencing in narcotics cases, sentencing in capital cases, criminal penalties for assaults on firemen and policemen, proposals to abolish the death penalty, apply federal law to crimes committed on aircraft, civil penalty guidelines and limitations, criminal justice statistics, habeas corpus reform.."
"Law, Crime, and Family Issues",1211,"Riots, Crime Prevention, and Crime Control.","Examples: programs to prevent crimes against women, crimes against the elderly, deterring auto theft, violent crime control, national crime survey, federal criminal diversion programs, compensation programs for victims of violent crime, causes of urban riots and civil disturbances."
"Law, Crime, and Family Issues",1299,Other.,13
Social Welfare,1300,General.,"Examples: Health and Human Services (HHS) and Health, Education and Welfare (HEW) appropriations and budget requests, administrations welfare reform proposals, effectiveness of federal and state public welfare programs, social services proposals, public assistance programs, effects of economic and social deprivation on the psychology of underprivileged persons, social security and welfare benefits reforms, related state and local issues."
Social Welfare,1301,"Food Stamps, Food Assistance, and Nutrition Monitoring Programs.","Examples: USDA grants to states for women, infant and children (WIC) supplemental food program, childhood hunger relief, child nutrition programs, consumer nutrition awareness, food stamp abuse and fraud, approach to the US hunger problem, USDA chool breakfast/lunch program, malnutrition problems among the elderly, food assistance for low income families, coordinate USDA and HHS programs for nutrition monitoring, USDA food programs for the homeless, administration task force on food assistance, food stamp reductions, special milk program eligibility for public schools, national nutrition policy study, food assistance for the elderly, national school lunch act."
Social Welfare,1302,Poverty and Assistance for Low.,"Examples: Economic Opportunity Act antipoverty programs, programs to alleviate long-term welfare dependency, examine proposals to reform Aid to Families with Dependent Children (AFDC) program, needs of disadvantaged children from low-income families, efforts of Southern states to reduce poverty, mandatory work and training programs for welfare recipients, promotion of economic self-sufficiency for single mothers receiving AFDC benefits, HHS low-income energy assistance programs, budget cut impact on AFDC programs, general or cross-cutting issues related to Supplemental Security Income (SSI)."
Social Welfare,1303,Elderly Issues and Elderly Assistance Programs (Including Social Security Administration).,"Examples: contributions into the social security fund, Older Americans Act, revise social security retirement earnings test, social security system filing problems, SSA procedures for handling claims for denied benefits, improve social security benefits for older women, social services for the elderly, management of the social security trust funds surplus, reduction of social security benefits, elderly assistance programs under the older Americans act, problems and needs of elderly women, cost of living adjustments for social security benefits, impact of budget cuts on the elderly, social security financing issues, energy cost assistance for the elderly, needs of rural elderly."
Social Welfare,1304,Assistance to the Disabled and Handicapped.,"Examples: residential living programs for the mentally retarded and developmentally  disabled, revision of aid to handicapped, technologies for assisting disabled persons, HHS grants for persons with chronic disabilities, needs of the elderly blind, rehabilitation assistance for disabled, programs for the deaf and hearing impaired, independent living programs for the handicapped, federal aid for the mentally ill and retarded, aid to physically handicapped, Randolph-Sheppard Act for the blind."
Social Welfare,1305,Social Services and Volunteer Associations.,"Examples: domestic volunteer service programs, youth volunteer programs, community volunteer programs, providing volunteer services for the elderly, ACTION agency older Americans volunteer programs, federal management of volunteer services, national meals-on-wheels programs, state social services programs, boy scouts of America, older worker community service programs, boys and girls clubs."
Social Welfare,1399,Other.,14
Community Development and Housing Issues,1400,General.,"Examples: Housing and Urban Development (HUD) budget requests and appropriations, housing and the housing market, HUD policy goals, building construction standards, future of the housing industry, national housing assistance legislation, administration and operation of national housing programs, housing safety standards.."
Community Development and Housing Issues,1401,Housing and Community Development.,"Examples: HUD housing and community development programs, HUD loans for neighborhood revitalization efforts, HUD block grants, neighborhood development and preservation, housing and urban development, National Housing Act, making repairs and improvements to a residence."
Community Development and Housing Issues,1403,Urban Economic Development and General Urban Issues.,"Examples: urban enterprise zones, local partnership act, economic development needs of urban areas, community reinvestment act, urban revitalization, economic problems in various cities, national urban policy, effects of budget cuts on cities, federal role in dealing with urban decline, reducing urban sprawl, New York City financial bailout, model cities programs."
Community Development and Housing Issues,1404,Rural Housing and FmHA Housing Assistance Programs.,"Examples: management of FmHA rural housing assistance program, FmHA home loan appeals procedure, shortages of low-income rural housing, housing credit needs in rural areas, FmHA management problems, agriculture real estate loans, FmHA farm loans."
Community Development and Housing Issues,1405,Rural Economic Development.,"Examples: credit assistance and availability for rural economic development, investment in rural areas, rural conditions, Appalachian Regional Development Commission, Economic Development Administration assistance, rural development oversight, economic and social problems of rural America, rural community development."
Community Development and Housing Issues,1406,Low and Middle Income Housing Programs and Needs.,"Examples: housing affordability problems of low and moderate income families, federal housing assistance programs, low-income housing shortages, condominium conversion trends and housing affordability, rent control, deficiencies in public housing projects, budget renewal for HUDs Section 8 program, alleged mismanagement of HUD programs, tenant-management initiatives in public housing projects, HUD management of multi-family housing programs, security in public housing, neighborhood preservation, slum clearance and related problems, multifamily housing projects, housing affordability and availability."
Community Development and Housing Issues,1407,Veterans Housing Assistance and Military Housing Programs.,"Examples: VA home loan guaranty program, use of national service life insurance funds to underwrite mortgage loans to veterans, VA mortgage foreclosures, veterans emergency housing act, low cost rental housing for veterans, sale of permanent war housing to veterans, substandard housing of military personnel, housing in military areas, defense housing act."
Community Development and Housing Issues,1408,Elderly and Handicapped Housing.,"Examples: Elderly housing needs, housing shortages and the elderly, alternative approaches to housing for the elderly, condominiums and the elderly, housing facilities for the elderly and handicapped, adequacy of federal response to housing needs of older Americans.."
Community Development and Housing Issues,1409,Housing Assistance for Homeless and Homeless Issues.,"Examples: permanent housing for the homeless, federal aid for the homeless, Homeless Outreach Act, assistance for homeless veterans, lack of housing for homeless and low- 28  income groups, use of emergency assistance funds for housing for homeless families, extent and causes of homelessness in the US   See also: 603 education of homeless children.."
Community Development and Housing Issues,1410,Secondary Mortgage Market.,"Examples: FHA mortgage insurance fund, soundness of the Federal Home Loan Mortgage Corporation and FANNIE MAE, abuses of FHA mortgage programs, mortgage marketing and mortgage credit, FHA to insure loans for residential mobile home purchases, examine the secondary mortgage market for industrial mortgages, FHA mortgage foreclosure procedures."
Community Development and Housing Issues,1499,Other.,"Examples: architectural competition, cellulose home insulation."
"Banking, Finance, and Domestic Commerce",1500,General.,"Examples: Department of Commerce (DOC) and National Bureau of Standards (NBS) budget requests and appropriations, financial system structure and regulation, DOC reorganization plan, national materials policy, regulatory sunshine act, federal regulation of the economy, Interstate Commerce Act."
"Banking, Finance, and Domestic Commerce",1501,US Banking System and Financial Institution Regulation.,"Examples: Regulatory burden on financial institutions, FDIC and Resolution Trust Corporation (RTC) policies, interstate banking efficiency, RTC procedures for disposal of assets of failed savings and loan banks, FDIC bank insurance fund, banking regulation reform, failed federally insured savings and loan associations, need for financial service industry restructuring, financial institution fraud investigations, savings and loan crisis, FSLIC acquisition of insolvent savings and loan associations, uniform standards for saving institution advertising, standards for US commercial bank foreign loan transactions, Federal Reserve regulation on check clearing systems--limit length of time that banks can hold checks, financial institution deregulation, electronic fund transfer act, interest rate regulation on savings accounts, national credit union administration, operation of federal intermediate credit banks, Reconstruction Finance Corporation, Federal Credit Union Act, Bank Holding Company Act, financial services industry reform."
"Banking, Finance, and Domestic Commerce",1502,Securities and Commodities Regulation.,"Examples: Securities Exchange Commission (SEC) budget requests and appropriations, regulation of commodity markets, federal securities regulations, securities laws violations, regulation of commercial bank involvement in the securities market, SEC regulation of corporate bonds, examine stock market volatility problems, municipal bond market regulation, commodity futures trading commission, growth of money market mutual funds, pension fund investment policies, protection for securities investors, amend the Securities Exchange Act, regulation of mutual fund investment companies, commodities, Public Utility Holding Company Act.."
"Banking, Finance, and Domestic Commerce",1504,"Consumer Finance, Mortgages, and Credit Cards.","Examples: mortgage financing reform, consumer credit protection, real estate settlement procedures, consumer access to credit records, consumer information on credit card interest rates, consumer information on mortgage settlement costs, fraud and abuse among credit repair agencies, adjustable rate mortgages, regulation of credit card solicitations, inaccurate credit bureau information reporting procedures, Credit Control Act."
"Banking, Finance, and Domestic Commerce",1505,Insurance Regulation.,"Examples: fraud and abuse in the insurance industry, insurance industry financial status, effectiveness of state regulation of insurance companies, insurance company failures, automobile insurance affordability and availability, no-fault motor vehicle insurance, life insurance industry regulation, sales of commercial life insurance on military bases, product liability insurance rates."
"Banking, Finance, and Domestic Commerce",1507,Bankruptcy.,"Examples: reform of consumer bankruptcy laws, professional fees in bankruptcy cases, bankruptcy code reform, depositor treatment in bankruptcy proceedings of uninsured financial institutions, bankruptcy regulation for farm families, municipal bankruptcy."
"Banking, Finance, and Domestic Commerce",1520,"Corporate Mergers, Antitrust Regulation, and Corporate Management Issues.","Examples: unfair competition in the tourism industry, meatpacking industry concentration, intellectual property antitrust protection, Sherman Antitrust Act, vertical price-fixing restrictions, price fixing agreements, monopoly problems in regulated industries, limited partnership regulations, foreign acquisition of U S. firms, corporate management structure, hostile corporate takeovers, seed-money corporations, Clayton Act, Sarbanes-Oxley Act."
"Banking, Finance, and Domestic Commerce",1521,Small Business Issues and the Small Business Administration.,"Examples: Small Business Administration (SBA) budget requests and appropriations promoting small business exports, small business credit availability problems, health insurance cost burden on small businesses, government assistance to small business, federal set aside contracts for small business, small business competitiveness under current liability laws, problems of small businesses complying with EPA regulations, SBA loans to small businesses, impact of deregulation on small trucking businesses, SBA implementation of small business programs for veterans, promotion of women in small business, impact of product liability costs on small business, increases in small business failures, impact of federal regulations on small business, access to capital for small business, government competition with small business."
"Banking, Finance, and Domestic Commerce",1522,Copyrights and Patents.,"Examples: Patent and Trademark Office appropriations, copyrights and telecommunication, biotechnology patent protection, intellectual property rights, copyright infringement remedies, industrial design protection, patents for inventions made in space, copyright protection for computer software, music copyrights, piracy of intellectual property, patent application procedures, trademark use and clarification, home recording of copyrighted material, performance royalties, patent office fees.."
"Banking, Finance, and Domestic Commerce",1523,Domestic Disaster Relief.,"Examples: Federal Emergency Management Agency (FEMA) budget requests and appropriations, aid for flood disasters, national flood insurance reform, earthquake preparedness, FEMA disaster planning and relief operations, FEMA civil defense programs, FEMA--national fire academy training programs, SBA disaster loans, interest rates on disaster loans, emergency credit extension to farmers in disaster areas, hurricane protection projects, early warning systems, drought relief, establishment of a national fire academy.."
"Banking, Finance, and Domestic Commerce",1524,Tourism.,"Examples: White House conference on tourism, promotion of tourism in the US, using tourism to promote development of rural economies, problems for foreign visitors, status of US tourism industry, national tourism programs, regulation of travel agents."
"Banking, Finance, and Domestic Commerce",1525,Consumer Safety and Consumer Fraud.,"Examples: Consumer Product Safety Commission (CPSC) budget requests and appropriations, deceptive mailings and solicitations, consumer reporting reform, auto repair fraud, state consumer protection standards, federal standards for product liability,  31  child car seat safety, infomercials and consumer protection, deceptive ads in the diet industry, telemarketing fraud, debt collection and consumer abuse, penalties for consumer product tampering, the consumer protection advocacy movement, Truth-in-Lending Act, labeling of alcoholic beverages, regulation of deceptive practices in the funeral industry, cosmetic safety, false and misleading advertising, consumer affairs, control of flammable fabrics."
"Banking, Finance, and Domestic Commerce",1526,Sports and Gambling Regulation.,"Examples: regulation of greyhound racing, health and safety standards for boxing, promotion of professional standards for boxing, regulation of gambling on vessels, , regulation of interstate horse racing, status of amateur sports in the US, antitrust immunity for professional sports teams, Presidents Council on Physical Fitness and Sports, use of performance enhancing drugs in sports.."
"Banking, Finance, and Domestic Commerce",1599,Other.,"Examples: conversion to the metric system, emergency chlorine allocation, uniform time standards."
Defense,1600,General.,"Examples: Department of Defense budget requests and appropriations (DOD), Department of the Air Force, Army, or Navy appropriations, armed services bills covering multiple subtopics, DOD operations and maintenance, defense production act, reorganization of the DOD, status of the national military establishment, establishment of the DOD, funding for defense activities of DOE, termination or designation of special defense areas."
Defense,1602,"US and Other Defense Alliances, US Security Assistance.","Examples: NATO strategy and US military presence in Europe, Japan-US joint military operations, mutual security acts, changes in the Soviet Union and the future of NATO, NATO defense capabilities in Europe, Warsaw Pact status, Soviet Union and China defense and economic development needs, Soviet strategic force developments, US military commitments to NATO, NATO military equipment, Southeast Asia collective defense treaty, inter-American military cooperation act, security assistance, UN peace-keeping activities.."
Defense,1603,"Military Intelligence, CIA, Espionage.","Examples: foreign economic espionage, US intelligence reorganization, congressional oversight of US covert intelligence activities, DOD security review commission,  32  intelligence activities of Soviet-bloc diplomats, CIA funds for the support of Nicaraguan rebels, leaks of classified defense information, national intelligence act, CIA estimates of Soviet defense spending, role of the national security advisor, foreign intelligence electronic surveillance, organized subversion in the US armed forces, communist bloc intelligence activities in the US, CIA illegal involvement in Chile, testimony of a KGB defector, intelligence reports on the necessity of ABM missile deployment, workings of the Cuban intelligence network, recent Soviet navy and military activities in Europe, CIA employee retirement and disability system, US defense strategies, national security acts, national security council briefings, threats to US interests, Soviet Union and China military capabilities.."
Defense,1604,"Military Readiness, Coordination of Armed Services Air Support and Sealift Capabilities, and National Stockpiles of Strategic Materials.","Examples: DOD plans for modernization of nuclear forces, military sealift performance in the Persian Gulf War, defense mobilization requirements of domestic industries, DOD efforts to improve defense communication systems, national defense stockpiles, modernization requirements, integration of military traffic management and military sealift command, US military readiness, DOD combat readiness programs, DOD mobility fuel requirements, fleet readiness, test and evaluation of the armed forces, shortages of essential materials, stockpiling of critical materials, disposal of various stockpiled materials, military air transportation readiness, production of fluorspar."
Defense,1605,Arms Control and Nuclear Nonproliferation.,"Examples: Arms Control and Disarmament Agency (ACDA) budget requests and appropriations, nonproliferation of weapons of mass destruction, destruction of nuclear weapons in the Soviet Union, North Korean nuclear program, US arms control policies, nonproliferation of chemical weapons, nuclear testing moratorium, DOE export controls of nuclear production material, arms export controls, arms reduction agreements between NATO and the Warsaw Pact, international ban on chemical weapons, global spread of chemical and biological weapons, prevention of sale of weapons system to Japan, START arms control treaty, conventional forces reduction, violation of arms control agreements, nuclear proliferation in developing countries, implication of INF treaty for NATO, Soviet Salt II treaty violations, UN report on nuclear proliferation, arms trade in the western hemisphere, nuclear exports to India, US-Soviet arms race control, EURATOM agreements, atomic weapons research and development, Arms Export Control Act revisions."
Defense,1606,Military Aid and Weapons Sales to other Countries.,"Examples: military assistance to other countries, conventional arms sales policies, sale of f-15 aircraft, commercial military sales, donation of an obsolete aircraft carrier, proposed sale of weapons, DOD costs related to sales of military equipment to foreign countries, sale of decommissioned ships  See also: 1901 economic and military aid   33."
Defense,1608,"Manpower, Military Personnel and Dependents (Army, Navy, Air Force, Marines), Military Courts.","Examples: DOD authorization requests for armed forces personnel strength levels, military personnel issues, child care programs at military installations, armed forces staffing requirements, imminent danger pay for those serving in the Persian gulf, DOD morale, welfare, and recreation programs, DOD officer promotion procedures, shortage of affordable housing for military families, benefits for military retiree spouses, special pay to encourage personnel retention, survivor benefit plans, defense officer personnel management act, status of army manpower, selective service system funding, unionization of military personnel, enlistment bonuses for service in a critical skill, increase flight pay for military aviators, recruiting and retention of military personnel, life insurance for military personnel, various personnel issues during W.W.II, Americans missing or prisoner in Asia, POWs in Vietnam, live sightings of US prisoners of war, retired military personnel issues, military court martial, transportation of armed forces, air travel of armed forces, mail for armed forces, mail for servicemen, defense department overseas teachers pay and issues."
Defense,1609,Veteran Affairs and Other Issues.,"Examples: veterans programs budget requests, veterans benefit claims, VA national cemetery system, illness of Persian Gulf veterans, disabled veterans compensation, VA board of appeals adjudication procedures, VA benefits eligibility, compensation for veterans, cost of living adjustments for veterans, delays in processing veterans claims, problems faced by Vietnam era veterans, federal services for women veterans, VA life insurance programs, reorganization of veterans food service operations, small business loans to veterans, consolidation of the veterans administration, veterans readjustment assistance act, veterans pay, veterans transportation issues."
Defense,1610,Military Procurement and Weapons System Acquisitions and Evaluation.,"Examples: DOD budget requests and appropriations for procurement of weapons, DOD procurement process, DOD aircraft procurement, funding for the B-2, shipbuilding and conversion programs, weapons system testing and evaluation, DOD contracting for support services, procurement of the Navy SSN-21 attack submarine, DOD purchasing and control of military supplies, contracting out of core logistic activities, M-16 rifle procurement program, health of strategic US Industries."
Defense,1611,"Military Installations, Construction, and Land Transfers.","Examples: military construction budget requests and appropriations, military construction programs, DOD commissary system, military lands withdraw, national war college  34  restoration act, Fort Hood land acquisition, expansion of US military bases in Spain, construction of bridges by the military, management of military clubs, military land conveyances, military real estate projects, national defense facilities act, military housing supplies, disposal of military property, construction of ordinance facilities, DOD real estate acquisitions, disposal of synthetic rubber facilities, sale of military stores to civilian employees, war plants disposal.."
Defense,1612,National Guard and Reserve Affairs.,"Examples: reserve officer personnel management, army reserve force structure, deactivation problems of reserve units participating in Desert Storm, management of military reserve vessels, management of reserve air fleet, national guard tort claims, survivor benefits for reservists, reserve members payments for life insurance, national guard retirement credit, reserve pay, flight training for ROTC, status of reserve facilities, promotion system for reserve officers, composition of the naval reserve."
Defense,1614,"Military Nuclear and Hazardous Waste Disposal, Military Environmental Compliance.","Examples: environmental crimes at rocky flats nuclear weapons facility, radioactive and chemical contamination at nuclear weapons facility, disposal of defense related wastes, hazardous waste identification at military bases, navy shipboard waste disposal policy, nuclear site decontamination, DOD compliance with the clean air act, DOE nuclear weapons hazardous waste management, army disposal of chemical weapons stockpile, DOD shipment of toxic chemicals by rail, radioactive spills at an air force base, uranium mill tailings radiation control act, environmental impacts of MX missile siting."
Defense,1615,Civil Defense and Homeland Security.,"Examples: radiological emergency planning, civil reserve air fleet, federal civil defense act, effects of limited nuclear warfare, federal fallout shelter construction, civil defense air raid shelter program, civil defense for national survival, civil air patrol, dept."
Defense,1616,"DOD Civilian Personnel, Civilian Employment by the Defense Industry, Military Base Closings.","Examples: assist workers affected by defense spending cuts, assist communities affected by DOD facilities closures, peacetime conversion of defense industry, base closure recommendations, maintenance of the US defense industrial base, defense industry employment, protection of DOD civilian employees, closure of overseas military bases."
Defense,1617,Oversight of Defense Contracts and Contractors.,"Examples: defense contract audit agency, management and pricing of DOD defense contracts, overpricing by DOD contractors, defense procurement fraud, DOD inventory control system problems, defense contractor financial data reporting requirements, inventory control and accounting procedures used Bell Helicopter, DOD employees ethics program, DOD contractors health insurance reimbursement policy, prosecution of fraudulent defense contractors, problem of product substitution by defense contractors, establish system for documenting defense contractor performance, fraud/cost overruns at General Dynamics, quality assurance problems at Hughes missile production facility, Navy spare parts procurement overpricing, DOD contract profit policy, DOD contract award procedures, review of military catalogue supply system, employment of DOD personnel by defense contractors.."
Defense,1619,Direct War Related Issues and Foreign Operations.,"Examples: appropriations for military operations in Vietnam, US relations with Laos, cost of the Vietnam War, impact of the Vietnam War, war-related civilian problems in Laos and Cambodia, air war against North Vietnam, Gulf of Tonkin incidents, U.S-Laotian security relations, military strategy in the Korean War, military supplies and equipment in Korean War, ammunition shortage in Korean War, Korean War mobilization programs, prisoners of war, Geneva convention for protection of POWs, elimination of German resources for war, shipment of war relief supplies, Pearl Harbor attack, war assets administration, investigation of the Katyn Forest massacre."
Defense,1620,Relief of Claims Against US Military.,"Examples: refunds or settlements for military dependents, relief of citizen injuries caused by the military, refunds for veterans, return of confiscated property, settlement of damage claims caused by war, settlement of foreign claims against military."
Defense,1698,Research and Development.,"Examples: DOD budget requests and appropriations for research and development, advanced materials research, laser technology, Research and Development on aerospace plane, office of Naval research, tilt rotor technology, DOD testing of airborne radar jammer, nuclear weapons Research and Development.."
Defense,1699,Other.,Examples: issues arising from the explosion aboard the USS.
"Space, Science, Technology and Communications",1700,General.,"Examples: Federal Communications Commission (FCC) and the Office of Science and Technology Policy budget requests and appropriations, science and engineering personnel requirements for the 1990s, US technology policy, FCC oversight review, reorganization of the FCC, national engineering and science policy, automation and technological change, FCC regulation of multiple subtopics (TV, telephone, cable, etc)."
"Space, Science, Technology and Communications",1701,"NASA, US Government Use of Space, Space Exploration Agreements.","Examples: NASA budget requests and appropriations, NASA administrative issues, presidents proposal for the space station Freedom, costs of the space station, policy goals for NASA space programs, problems with the Hubble Space Telescope, nuclear power and space exploration, review the space shuttle Challenger accident, international space policy, shuttle deployment of satellites, US space cooperation with the Soviets, NASA satellite communications, Skylab 1 mechanical difficulties, Apollo 16 mission report, status of the Apollo program, NASA-DOD space programs budget requests and appropriations, DOD-NASA national aerospace plane program, NASA and DOD space launch vehicle requirements, prototype construction of a commercial supersonic transport airplane, DOD use of space.."
"Space, Science, Technology and Communications",1704,"Commercial Use of Space, Satellites.","Examples: international competition in space launch services, US commercial space launch industry, Landsat satellite sale to private sector, encourage private sector development of satellite launch vehicles, status of private investment in space activities, solar power satellite research, earth resources technology satellite program, communication satellites."
"Space, Science, Technology and Communications",1705,"Science Technology Transfer, International Scientific Cooperation.","Examples: technology transfer improvements act, technology transfer barriers and limitations, science cooperation between US and Latin America, US-East European cooperation in science research, US policy of cooperation with foreign countries on science and technology, international science cooperation, technology transfer from the US government to private industry, US-Japan agreement to conduct more joint science and technology research, Department of Commerce technology transfer activities, international support for supercollider program, university and industry cooperation for technological advancements, create a national scientific information data processing center."
